Key,ko,jp,en
s1.124,"스탬피드, 괜찮으면 니코군을 안아볼래?",スタンピード、よかったらニコくんを抱きしめてみる？,"Stampede, if it's okay, would you like to hold Nico?"
s1.125,네?! 정말요..?,え？本当ですか...？,Yes?! Really..?
s1.126,"하, 하지만.. 아기는 안아본 적이 없는걸요.. 제가 안으면 니콜라스군이 불편할 거예요.",は、でも 赤ちゃんは抱っこしたことないですよ。私が抱っこするとニコラス君が不快になっちゃうよ。,B-but.. I've never held a baby before.. Nicholas would be uncomfortable if I held him.
s1.127,그렇지만 니코는 네가 마음에 든 것 같은데? 그러지 말고 한 번 안아줘~,でも、ニコはあなたが気に入ったみたいよ？ そんなこと言わないで、一度抱きしめてよ～,But Nico seems to like you. Don't worry about it and just hold him once~
s1.128,스탬피드는 밧슈로부터 조심스레 아기를 받아든다. 품 안에 들어온 니콜라스는 우유 냄새가 나는 뜨끈한 식빵 같았다.,スタンピードはロープから慎重に赤ちゃんを抱き上げる。腕の中に入ったニコラスは、ミルクの匂いがする熱々の食パンのようだった。,Stampede carefully takes the baby from Vash. Nicholas in his arms was like warm bread that smelled of milk.
s1.129,방금까지 울었던 게 거짓말인 것처럼. 스탬피드의 손을 잡고 의젓하게 옹알였다.,さっきまで泣いていたのが嘘のように。スタンピードの手を握りしめて、堂々と喃語をしゃべる。,"As if his crying just moments ago was a lie, he grabbed Stampede's hand and babbled dignifiedly."
s1.130,"와아… 왠지, 갑자기 눈물이 날 거 같아요…",うわぁ...なんだか、急に涙が出そう...,"Wow... somehow, I feel like I'm going to cry suddenly..."
s1.131,"하하! 그거 봐, 아주 편해 보이잖아?",ハハ！ほら、とっても楽そうでしょ？,"Haha! See, he looks very comfortable, doesn't he?"
s1.132,"반가워, 니콜라스군..",ニコラス君...,"Nice to meet you, Nicholas.."
s1.133,"이거 참, 스탬피드를 나보다 좋아하는 것 같아서 질투 날 정도인 걸.",なんていうか、私よりスタンプ帳が好きみたいで嫉妬しちゃうわね。,"Gee, it looks like he likes Stampede more than me, I'm almost jealous."
s1.134,이러다 너랑 결혼한다고 하면 어떡해~,このまま君と結婚しちゃったらどうしよう～,What if he says he wants to marry you?
s1.135,"아하핫, 빨리 커서 데리러 와야 해? 니콜라스군.",あははは、早く大きくなって迎えに行かないとね。 ニコラス君。,"Ahaha, so you’d better hurry up and grow big, then come whisk me away as your bride, okay, Nico?"
s1.136,기다릴게..,待ってるよ。,I'll wait..
s1.137,부부의 침실에 함부로 들어가는 건 나쁜 행동이야!,夫婦の寝室に勝手に入るのはよくないよ！,It's bad to enter a married couple's bedroom carelessly!
s1.138,니콜라스의 방이구나!,ニコラスの部屋だね！,This is Nicholas's room!
s1.139,벽지는 무슨 색으로 하셨을까? 노란색? 분홍색?,壁紙は何色にしたのかな？黄色？ ピンク？,I wonder what color they chose for the wallpaper—yellow? Pink?
s1.140,클래식한 취향이셨구나..,クラシックな好みだったんだね。,"Oh, so they had classic taste…"
s2.1,"Chapter 1. Home, sweet home.","Chapter 1. Home, sweet home.","Chapter 1. Home, sweet home."
s2.2,… …,… …,… …
s2.3,… … … …,… … … …,… … … …
s2.4,쟤는 아직도 저러고 있나?,あいつはまだやってるのか？,Is he still doing that?
s2.5,으응.. 벌써 한 시간째네.,うーん。もう1時間経ってるね。,Uh-huh.. it's been an hour already.
s2.6,"하이고, 답답하고 마..",やれやれ、イライラする。,"Sigh, it's frustrating.."
s2.7,"니코, 무슨 고민이라도 있니?",ニコ、何か悩みでもあるの？,"Nico, do you have any worries?"
s2.8,안 봐도 뻔~하다. 너 또 스탬피드 생각하고 있지?,見なくてもわかるよ。お前、またスタンピードのこと考えてるんだろ？,It's obvious without looking. You're thinking about Stampede again?
s2.9,고민할 게 뭐가 있는데! 그냥 사나이답게 고백해라!,悩むことなんてあるわけないだろ！ 男らしく告白してみろよ！,What's there to worry about! Just confess like a man!
s2.10,니코한테 봄이 오려나보다!,ニッコに春が来たようだ！,Looks like love is in the air for him!
s2.11,그래~! 아빠 말대로 고백 한번 해보는 건 어때~?,そうだ～！パパの言う通り、告白してみたらどうだ～？,He's right! How about going for it and telling him how you feel—just like Dad said?
s2.12,왜~ 너 어릴 때 그 아이만 매일 좋다고 따라다녔었잖니~,なんで～、お前は子供の頃、あの子だけ毎日好きでついて回ってただろ～？,He's right! How about going for it and telling him how you feel—just like Dad said?
s2.13,… …,… …,… …
s2.14,니콜라스는 대꾸 없이 액자를 탁자 위에 내려놓았다. 그리곤 특유의 뚱한 얼굴로 부모님을 바라본다,ニコラスは無言で額縁をテーブルの上に置いた。そして独特の太った顔で両親を見つめる,Nicholas put the picture frame down on the table without responding. Then he looks at his parents with his characteristic pouty face
s2.15,"흐음, 이게 그 '사춘기'라는 건가?",うーん、これがあの「思春期」ってやつか,"Hmm, is this what they call 'puberty'?"
s2.16,점마는 사춘기가 아니라 그 짝사랑인지 뭔지 하는 주접이다.,あいつは思春期じゃなくて、あの片思いか何かの時期なんだろう。,"Oh come on, that's not puberty, it's that one-sided love nonsense."
s2.17,으이고 누굴 닮아 저래 문디 같은지..,誰に似てるんだ、馬鹿みたい。,"Oh my, who does he take after to be so stubborn.."
s2.18,… …,… …,… …
s2.19,"어, 어쨌든!! 아이가 힘들어할 때 도와주는 게 부모의 역할이잖아!!!",え、とにかく！！！子供が困ってるときに助けるのが親の役目だろ！！！,A-anyway!! It's the parent's role to help when the child is struggling!!!
s2.20,아들이 저렇게 힘들어하면 도와줘야지! 안 도와줄 거야!?!,息子があんなに困ってるなら助けてやれよ！助けないのか！？,"If our son is struggling like that, we should help him! Won't you help him?!?"
s2.21,누가 안 도와준다 캤나!?,誰が助けてくれないの！？,Who said I wouldn't help?!
s2.22,쟤 꼬락서니가 답답해가 그런 거지.,あのクソガキが悔しいからそうなるんだよ。,It's because that kid's behavior is frustrating.
s2.23,그래서 빗자루. 뭐 좋은 생각이라도 있나?,それで、トンガリ。何かいい考えでもあるのか？,"So, Spikey. Do you have any good ideas?"
s2.24,음.. 내 생각에는,うーん。私の考えでは、,"Well.. I think,"
s2.25,… … (속닥속닥),... ... ... (ざくざく),… … (whisper whisper)
s2.26,이렇게 하는 건 어때?,こんなのはどうだ！,How about we do this?
s2.27,좋네! 언제 이런 기발한 생각을 다했나!,いい！ いつこんな気まぐれな発想をしたんだ！?,Good! When did you come up with such a brilliant idea!
s2.28,그러면 언제부터 시작할 건데?,じゃあ、いつから始めるんだ！,Then when should we start?
s2.28_1,오늘부터!! 니코와 우리 가정을 위하여..,今日から！！ニコと我が家のために...,From today!! For Nico and our family..
s2.29,작전명 러브 앤 피스다!!!!,作戦名ラブ＆ピースだ!!!!,Operation name: Love and Peace!!!!
s2.30,"아, 니콜라스!",あ、ニコラス！,"Oh, Nicholas!"
s2.31,오늘 날씨 정말 좋지!,今日の天気は本当に良いね！,The weather is really nice today!
s2.31_2,어디 가? 부모님 심부름?,どこ行くの？ 両親の用事？,Where are you going? Parents' errand?
s2.32,..아재네 간다.,...リビオおじさんの家に行くの？,..I'm going to uncle's house.
s2.33,일 도와드리러 가는 거야?,仕事の手伝いに行くの？,Are you going to help with work?
s2.33_1,"후후, 기특하네. 힘들지 않겠어? 내가 도와줄 일 없을까?",ふふふ、偉いね。大変だろう？ 俺が手伝ってあげようか？,"Hehe, how admirable. Won't it be hard? Is there anything I can help with?"
s2.34,(언제까지고 얼라 취급 인기가..),(いつまでも子供扱いされてる...),(How long will I be treated like a kid...)
s2.35,… 됐다. 내가 얼라도 아이고. 신경 끄라.,...いや、俺は子供じゃないから気にするな。,… It's fine. I'm not a kid. Don't mind me.
s2.36,"아… 그렇네, 미안.",あ...そうか、ごめんね。,"Ah... that's right, sorry."
s2.37,"그럼 다음에 보자, 니콜라스. 오늘 일 힘내!",じゃあまたね、ニコラス。今日の仕事頑張れ！,"Then see you next time, Nicholas. Good luck with work today!"
s2.38,하아…,はあ...,Sigh...
s2.39,(얼라가 아이긴 뭐가 아이고. 완전 얼라다. 그것도 아주 엄살궂은.),(子供じゃないわけないだろ。 完全に子供だ。 それもクソ野郎...),(What do you mean I'm not a kid. I'm totally a kid. A very whiny one at that.)
s2.40,이런 놈이 남자로 보이믄 눈이 아이고 눈깔 이제. 맞재..,こんな俺が男に見えるわけないだろ。 そうだろうな。,If someone like this looks like a man then they must be blind. Right..
s2.40.1,일단은 자고 내일 생각할까..?,とりあえず寝て明日考えるか...？,Should I sleep first and think about it tomorrow..?
s2.40.2,눈 깜빡할 새 아침이고마..,目も覚めぬうちに朝になるね...,In the blink of an eye it's morning..
s2.40.3,그러고 보니 심부름 종이를 어디 뒀쟤?,そういえば、用事用紙はどこに置いたっけ？,Come to think of it where did I put the errand note?
s2.41,정체 모를 무덤이다,正体不明の墓場だ,It's a grave of unknown identity
s2.42,"예전에 밧슈에게 누구의 무덤인지 물어보았는데, 지금은 쓰지 않는다고 한다..",以前、芭蕉に誰の墓か聞いたことがあるが、今は使っていないそうだ。,"I asked Vash before whose grave it was, but he said it's not used anymore.."
s2.43,오늘은 숲에 딱히 볼 일이 없다.,今日は森に特に用事がない。,There's nothing particular to see in the forest today.
s2.44,스탬피드의 집으로 갈 때가 아니야.,スタンピードの家に行く時じゃない,It's not time to go to Stampede's house.
s2.45,지금은 집에 돌아가고 싶지 않아..,今は家に帰りたくない。,I don't want to go home right now..
s2.46,Chapter 2. Never give up! Never surrender!,Chapter 2. Never give up! Never surrender!,Chapter 2. Never give up! Never surrender!
s2.47,Chapter 3. Count Down,Chapter 3. Count Down,Chapter 3. Count Down
s2.48,Chapter 4. 미래로 가는 차표,Chapter 4. 미래로 가는 차표,Chapter 4. A ticket to the future
s3.1,"아재, 잘지냈심니꺼.",おじさん、元気ですか？,"Uncle, have you been well?"
s3.2,니콜라스!!! 어서 와-!!!!!!!!!!!!,ニコラス！！！ ようこそ-!!!!!!!!,Nicholas! Welcome-!!
s3.3,"마, 귀청 떨어지겠구로..;",鼓膜が破裂しそう...！ なんで大騒ぎなの？,"Geez, you're going to make me go deaf.."
s3.4,"아하핫, 왜냐면 니콜라스…",アハハッ、だってニコラス...,"Ahaha, because..."
s3.5,이제 다 컸다고 예전처럼 자주 와주지 않으니까…,もう大人になったからって、昔みたいに頻繁に来てくれないから...,"Now that you're all grown up, you don't come visit often like before..."
s3.6,은제적 얘길 하는깁니꺼. 거 내 다슷살 때 입니더.,昔の話です。 私が5歳の時ですよね。,You're talking about old times. That was when I was five years old.
s3.7,삼촌한텐 바로 어제 같단다..,叔父さんには昨日のことなんですよ。,To uncle it feels like just yesterday..
s3.8,나이 묵으면 그리된다 카데예.,歳をとるとそうなるんだって。,People often say that’s what happens when you get older
s3.9,칼이나 줘 보이소.,ナイフください。,Give me the knife.
s3.10,리비오는 목공용 칼을 건네주었다,リビオは木工用の包丁を渡した,Livio handed over the woodworking knife
s3.11,손이 커져서 그런가? 이제 훨씬 깔끔하게 만드는걸!,手が大きくなったからか？ これでもっときれいに作れるよ！,Is it because your hands got bigger? Now you make it much more neatly!
s3.12,마…몸뚱이만 그리 커뿟지예.,うーん...体だけ大きくなったね。,Well... only my body grew like that.
s3.13,… … … … …,… … … … …,… … … … …
s3.14,와 그리 보심니꺼..?,なんでそんな目で見てるの...？,Why are you looking at me like that..?
s3.15,리비오는 니콜라스에게만 보여주는 짖궂은 얼굴로 입가를 당겨 웃는다.,リビオはニコラスだけに見せる凶悪な顔で口角を上げて笑う。,Livio pulls the corners of his mouth and smiles with a mischievous face that he only shows to Nicholas.
s3.16,"니콜라스, 무슨 고민 있구나?",ニコラス、何か悩みでもあるのか？,"Nicholas, you have some worries, don't you?"
s3.17,"..없심니더, 그런 거.",......ありませんよ、そんなこと。,..There's nothing like that.
s3.18,"하지만 네가 만든 새 날개, 한쪽이 더 작게 깎였는데?",でもお前が作った鳥の羽、片側が小さく削られてるぞ？,"But the bird wing you made, one side is carved smaller than the other?"
s3.19,…!!,.......!!!,…!!
s3.20,그리고 공방에 올 때는 항상 진정하고 싶을 때였잖아.,そして、工房に来る時はいつも落ち着きたい時だったろ？,And whenever you come to the workshop it's always when you want to calm down.
s3.21,형한테 처음으로 크게 혼난 날이었나?,初めて兄さんに大声で怒られた日だったかな？,Was it the day you got scolded badly by your dad for the first time?
s3.22,그때도 새를 깎았었지. 엉망진창이었지만!,当時も鳥を刈ったことがある。めちゃくちゃだったけど！,You carved a bird then too. It was a mess though!
s3.23,10년도 더 된 일 아입니꺼. 고마 하이소..,もう10年以上前のことなのに。 やめてよ...,That was more than 10 years ago. Please stop it..
s3.24,"그래도, 니콜라스는 그때 나 지금이나 항상 내 귀여운 조카니까 말이야!",それでも、ニコラスは今も昔も、私の可愛い甥っ子だからね！,"Still, Nicholas is always my cute nephew, whether then or now!"
s3.25,"…아무리 나이를 무도 얼라는 얼라, 이 말임니꺼!",...どんなに年を取っても子供は子供ってことですか？,"...What, so I’m still just a kid no matter how old I get?!"
s3.26,"니콜라스는 언성을 높이며 자리를 박차고 일어났다가, 머쓱하니 의자에 주저앉았다.",ニコラスは怒鳴りながら席を立ったかと思えば、しどろもどろに椅子に腰を下ろした。,"Nicholas raised his voice and stood up abruptly, then awkwardly sat back down on the chair."
s3.27,"맞아, 그러니까 혼자서 끌어안기보단 조금은 어리광 부리면 어때?",そうだ、だから、一人で抱きしめるより、少しはおどけたほうがいいんじゃないか？,"That's right, so instead of bearing it all alone, how about acting a little spoiled?"
s3.28,그게 어린애의 특권이잖냐!,それが子供の特権だろ！,That's the privilege of being young!
s3.29,… 맞나. 그럼 내 생각해볼게예.,......考えてみるよ。,"... Right, let me think about that."
s3.30,니콜라스는 한결 가벼워진 마음으로 조각을 깎아나간다.,ニコラスは一段と軽くなった心で彫刻を削っていく。,Nicholas carves the sculpture with a much lighter heart.
s3.31,가장 좋아하는 이의 웃는 얼굴을 떠올리면서…,最愛の人の笑顔を思い浮かべながら...。,While thinking of his loving person's smiling face...
s3.32,날이 어둑해질 즘엔 그럴듯한 새 조각이 완성되었다.,日が暮れる頃には、見栄えのする鳥の彫刻が完成した。,By the time it got dark a decent bird sculpture was completed.
s3.33,밖이 깜깜해졌네. 너무 늦게까지 붙잡고 있었다고 형한테 혼나겠는걸?,外が真っ暗になった。夜遅くまで起きていたら、兄ちゃんに怒られちゃうよ。,It's gotten dark outside. Won't you get scolded by your brother for keeping you too late?
s3.34,슬슬 가봐야겠습니더.,そろそろ家に帰るよ。,I should be going now.
s3.35,그래~ 오늘도 고생했어. 또 고민이 있으면 언제든 찾아와!,うん～、今日もお疲れ様。 また困ったことがあったらいつでも来てね！,Alright~ You worked hard today too. Come visit anytime if you have worries again!
s3.36,니콜라스? 혹시 나에게 상담하고 싶은 게 있어?,ニコラス、もしかして僕に相談したいことある？,Nicholas? Do you happen to have something you want to consult me about?
s3.37,(언젠가 이렇게 멋진 삼촌 역할을 하는 날이 오기만을 기다렸지),(いつかこんな素敵なおじさんになる日が来るのを待ってたよ),(I've been waiting for the day when I could play such a cool uncle role like this)
s3.38,리비오는 기대감을 숨기지 못한다.,リビオは期待を隠せない,Livio cannot hide his anticipation.
s3.39,(역시 이런 건 커플에게 물어보는 게 낫겠지?),(やっぱりこういうのはカップルに聞いた方がいいよね？),(I guess it's better to ask a couple about things like this.)
s3.40,아니예. 오늘 감사했습니더.,いや、今日はありがとうございました。,No. Thank you for today.
s3.41,"그, 그래...",そ、そう...,"Well, alright..."
s5.1,니코~!,ニコ〜！,Nico~!
s5.2,어디 다녀왔던 거니?! 밖이 깜깜하잖아,どこに行ってたの！！ 外が真っ暗じゃん。,Where have you been?! It's dark outside
s5.3,내비 도라. 쟈는 도둑을 만나도 통째로 잡아올 텐데.,ほっといてよ。あいつは泥棒に出会っても丸ごと捕まえてくるのに。,Let him be. He’s the kind of kid who’d nab a thief and drag him back alive.
s5.4,… 다녀왔습니다.,...行ってきました。,... I'm back.
s5.5,"아들. 여, 와본 나.",息子よ、ここに座れ。,Son. Come here.
s5.6,니 먼 고민 있나? 며칠째 세상 망한 것 마냥 우중충해 다니지 않나.,お前、何か悩みでもあるのか？ 何日か前から世の中がダメになったかのようにウツウツしているじゃないか。,Do you have some worries? You've been looking gloomy for days like the world has ended.
s5.7,… … …,… … …,… … …
s5.8,… … … … … …,… … … … … …,… … … … … …
s5.9,아부지. 어무이.,お父さん。お父さん。,Father. Mother.
s5.10,"그래, 니코!",そうだ、ニコ！,"Yes, Nico!"
s5.11,아까… 말한 고백이라는 거.,さっき...言った告白ってやつ。,Earlier... about that confession you mentioned.
s5.12,우예하믄 좋겠습니꺼?,どうしたらいいんだろう？,How should I do it?
s5.13,… … ! ! !,… … ! ! !,… … ! ! !
s5.14,아부지 어무이도 커플이니까… 그런 거 잘 알지예…?,お父さんとお母さんもカップルだから...そんなのよくわかりますよね...？,"Since father and mother are a couple... you know about these things well, right?"
s5.15,… … …,… … …,… … …
s5.16,"하모, 니 어무이랑 내랑은 지지고 볶고 다해봐 연애는 도사지.",そう、トンガリと私はあれこれ最後までやり尽くした恋愛の達人なんだ。,"Well, your mother and I have been through it all - we're experts at romance."
s5.17,… … ?,… … ?,… … ?
s5.18,그런데 …,ところで...,But ...
s5.19,맨 입으로?,無料で？,Just with words?
s5.20,… ? ! ! !,… ? ! ! !,… ? ! ! !
s5.21,세상에 공짜가 어딨나?,世の中にタダがどこにあるのか？,Where in the world is there anything for free?
s5.22,원래 부모 자식 간이 셈을 가장 잘치뤄야 하는 기다.,本来、親子の間が一番計算をよくしなければならないのだ。,Parents and children should settle accounts the best.
s5.23,여 적힌 거 다 해뿌면 그때 니 연애 도와주마.,この紙に書かれたことをやり遂げたら、その時にお前の恋愛を手伝ってやるよ。,"Do everything written here, then I'll help you with your love life."
s5.24,니콜라스는 울프우드가 내민 종이쪽지를 받았다.,ニコラスはウルフウッドが差し出した紙を受け取った。,Nicholas received the paper note that Wolfwood handed him.
s5.25,(기냥 건수 잡아가 조뺑이 시키는 거 아이가?),(ちょうどこの時だからと甘えているのでは？),(Isn't he just finding an excuse to make me do chores?)
s5.26,"오늘은 늦었으니까, 이만 자고 내일부터 부탁해~!",今日は遅いから、もう寝て明日から頼むよ〜！,"It's late today, so go to sleep and start tomorrow!"
s5.27,그래. 퍼뜩 가서 자라. 새벽같이 인나야 밤에는 다 끝내재.,そうだ。さっさと寝なさい。夜が明ける前に家に入るよ。,Yeah. Go to bed quickly. You need to get up early to finish everything by night.
s5.28,"(내 속은 거 같은데, 삼촌…?)",(騙されたような気がするけど、おじさん...？),"(I feel like he's scheming something, uncle...?)"
s5.29,할 일이 태산이네.,やることが山積みだなあ。,There's a mountain of work to do.
s5.30,뭐부터 해볼까...,何からやろうかな...,What should I start with...
s6.1,인자사 다 끝났구만…,これですべての用事を済ませた...,Now it's all finished...
s6.2,"다 끝냈구나! 정말 수고했어, 니코~",終わったね！ 本当にお疲れさま、ニコ〜,"You finished everything! Great job, Nico~"
s6.3,연애하고 잡는 놈이 이 정도는 해야지.,恋愛したい奴はこれくらいやれよ。,Someone who wants to date should do at least this much.
s6.4,이제 더 할 일은 없는 거지 예?,もうこれ以上やることはないよね？,There's nothing more to do now?
s6.5,다 했으니 이제 가장 중요한 고백 준비를 해야지!,さてさて、さあ、一番大事なプロポーズの準備だ！,"All the other tasks are done, so now it’s time to get ready for the most important part—telling stampede how you feel!"
s6.6,프러포즈의 정석인 꽃과 반지를 준비하는 거야.,プロポーズの定番である花と指輪を用意するんだ。,We need to prepare flowers and a ring - the basics of a proposal.
s6.7,꽃은 니코가 직접 키운 제라늄을 주면 되고,花はニコが自分で育てたゼラニウムを渡せばいいし、,"For the flowers, just give him the geraniums you grew yourself."
s6.7.1,반지는 역시 직접 제작해서 주는 게 좋겠지?,指輪はやっぱり自分で作るのがいいよね？,And it would be best to make the ring yourself too?
s6.8,……!?!??!?!,……!?!??!?!,……!?!??!?!
s6.8.1,"그래서 내보고 나무하고, 제라늄 키우라 한 거가!?",だから木を切って、ゼラニウムを育てろって言ったんですか！？,So that's why you made me chop wood and grow geraniums!?
s6.9,임마는 이걸 이제 안거가.,君はこれで気づいたのか？,You're just realizing this now.
s6.10,멀어도 한~참 멀었다.,遠くても遠くても遠い。,You're still far from being ready.
s6.10.1,가서 더 뺑이 쳐라!!!,ちゃんと準備しなさい！！！,Go and work harder!!!
s6.11,아 쫌!!!,あ、お願いします！！！！,Oh come on!!!
s7.0,"사각, 사각.",カリカリ,"Scrape, scrape."
s7.0.1,늘 나무 새를 조각하던 니콜라스의 손이 오늘은 반지를 깎고 있다.,いつも木の鳥を彫っていたニコラスの手が、今日は指輪を彫っている。,Nicholas's hands that usually carved wooden birds are carving a ring today.
s7.1,"…그나저나, 내 빗자루 반지 사이즈도 모르는데.",...それにしても、トンガリの指輪のサイズも知らないのに。,"...By the way, I don't even know Spikey's ring size."
s7.1.1,하… 이리 중한 걸 내는 인제서야.. 미치겄다.,ハ...こんな大事なことに今更気付くなんて。やばいな。,Sigh... I'm just realizing something this important now... I'm going crazy.
s7.2,준비 잘하고 있나~,準備は大丈夫ですか～？,Are you preparing well~?
s7.3,조졌심더. 뻥하고 차일 낍니더.,駄目です。 私は断られますよ。,I'm screwed. I’m sure I’ll get turned down flat when I confess my feelings.
s7.4,저 줄라이꺼정 날라뿌겠지예…,今よりもっとダメな仲になって、あいつは私を避けるでしょうね...,Then I’ll end up flat as a pancake…
s7.5,야가 와이라 노. 장래희망이 이온포가.,はあ？ なんで急に臆病になったの？,What’s with you? You look like you want the ground to swallow you up.
s7.6,…빗자루 반지 사이즈를 모릅니더.,...トンガリの指輪のサイズがわかりません。,...I don't know Spikey's ring size.
s7.7,여즉 손도 안 잡아봤나?,まだスタンピードの手も握ったことないのか？,You haven’t even held his hand yet?
s7.8,아부지한테선 듣기 싫심니더.,父さんに言われる筋合いはないな。,I don't want to hear that from you.
s7.9,…아픈 데 찌르지 마라.,...痛いところを突くなよ。,...Don’t rub salt in the wound.
s7.10,"어쨌든, 사내가 고작 그딴 걸로 죽상을 쓰고 그라나.",いずれにせよ、男がそんなもので、死神像をつけるのか？,"Anyway, a man shouldn't look so miserable over something like that."
s7.11,"아나, 이거 받으라.",これを受け取れ。,"Here, take this."
s7.12,울프우드는 작은 상자에서 반지 하나를 꺼냈다.,ウルフウッドは小さな箱から指輪を一つ取り出した。,Wolfwood took out a ring from a small box.
s7.13,? 이게 뭔데예?,これは何ですか？,What is this?
s7.14,니 엄마 반지.,お母さんの指輪。,Your mother's ring.
s7.15,끼는 거 못 봤는데.,指輪してるの見たことないんだけど？,I've never seen him wear it.
s7.16,"하모, 아직 안 줬은께.",うん、まだ渡してないから。,"Well, I haven't given it to him yet."
s7.17,…대체 결혼식에선 뭘 한깁니꺼?,...いったい二人は結婚式で何をしたの？,…What exactly did you do on your wedding day?
s7.18,남자의 사정이 있는기라.,男の事情があるんだ。,Men have their own reasons.
s7.19,"갸 손을 보아하니, 니 엄마랑 비슷하다 카이.",彼の手を見ると、お前のお母さんに似てるみたいだ。,"Looking at his hands, they're similar to your mother's."
s7.20,이거 맹키로 맹글면 대강 맞을끼다.,これと同じように作れば大体合うと思う。,If you resize this roughly it should fit.
s7.21,"예, 고맙심데이.",はい、ありがとうございます。,"Okay, thank you."
s7.22,뿌사뿌지말고.,壊さないでね。,Don't be too grateful.
s7.23,"울프우드는 니콜라스의 어깨를 두드린 뒤, 자리에서 일어났다.",ウルフウッドはニコラスの肩を叩くと、席を立った。,"Wolfwood patted Nicholas's shoulder, then got up from his seat."
s7.24,…결혼반지라.,...結婚指輪か。,"...A wedding ring, huh..."
s7.25,니콜라스는 낯선 반지를 손 위에 올려 이리저리 살펴보았다.,ニコラスは見知らぬ指輪を手に取り、あちこち見て回った。,Nicholas placed the unfamiliar ring on his hand and examined it from all angles.
s7.26,…내도 얼른 끼워주고 싶다.,...私も早くトンガリに指輪を渡したい。,...I want to put it on Spikey soon too.
s7.27,잠깐 바람이라도 씰까…,ちょっと気分転換でもしようか...？,Should I get some fresh air...
s7.28,이 새벽엔 꽃 밭에 아무도 없겠지.,この夜明けには花畑には誰もいないだろう。,There should be no one in the flower field at this dawn.
s8.1,시원한 밤바람이 강 쪽에서 불어온다.,涼しい夜風が川沿いから吹いてくる。,A cool night breeze blows from the river.
s8.2,어느새 몽우리가 진 제라늄이 바람에 산들산들 흔들리고 있다.,いつの間にか花房をつけたゼラニウムが風に揺れている。,The geraniums that have formed buds are swaying gently in the wind.
s8.3,? 이게 벌써 꽃이 필라 카네. 벨 일이 다 있다…,? これはもう開花しそうだ。いろいろあるものだ...,These are already about to bloom. All sorts of things happen...
s8.4,오늘 심는다고 당장 자라서 꽃이 피진 않겠지만..,今日植えたからといって、すぐには育たないだろうけど...。,Just because I planted them today doesn't mean they'll grow and bloom right away..
s8.5,"혹시 모르지, 니코의 사랑을 담는다면 기적이 일어날지도?",もしかしたら、ニコの愛を込めたら奇跡が起こるかも？,"Who knows, maybe a miracle will happen if you put your love into it?"
s8.6,기적…,奇跡...,A miracle...
s8.7,진짜면 을매나 좋켔노.,本物だったらどんなにいいだろう。,How wonderful it would be if it were real.
s8.8,사랑을 알아준다는 거 자체가 기적인디.,私の愛を認めてくれること自体が奇跡だ。,Just having my love acknowledged would be a miracle.
s8.9,그치만 기다리기만 하진 않을끼다.,でも待ってるだけじゃないよ。,But I won't just wait around.
s8.10,"선물도, 멋진 말도, 제대로 전해가…",プレゼントも、素敵な言葉も、トンガリにちゃんと伝えて...,I want to give him the present and say just the right words—
s8.11,웃게 해주고 싶다.,笑わせてあげたい。,so I can make him smile.
s8.12,"니가 제일 좋다고 말해줬으니께,",君が一番いいと言えるなら,I’ll tell you you’re the one I love most—
s8.13,내가 제일 좋아하는 얼굴 한 번만 보여도.,私が一番好きな顔を一度だけ見ることができるなら,"So please, just once, show me that face I adore more than anything."
s8.14,…내는 그걸로 괜찮다.,...私はそれでいい。,...I'd be fine with that.
s8.15,…,…,…
s8.16,………,………,………
s8.17,…괜찮기는 머슨!!!!!!!!!,...大丈夫ってなんだよ!!!!!!!!!,…What do you mean fine!!!!!!!!!
s8.18,고 사이 딴 놈이 채가면 우짤라카는데?,その間にトンガリが他の奴と付き合ったらどうするんだよ！？,What if someone else takes him in the meantime?
s8.19,"아니, 이미 만나는 놈이 있으면…?",いや、すでに付き合ってる奴がいたら...？,"No, what if he's already dating someone...?"
s8.20,"내는 그렇다 쳐도, 쟈는 이미 혼기도 찼다카이!",近所にはトンガリ狙いの奴がいっぱいいるのに！！,"Never mind me, but he's already at marriageable age!"
s8.21,고라모 다 말짱 도로묵이다!!!,それじゃあ意味ないじゃん！！！,Then it's all for nothing!!!
s8.22,"퍼뜩, 퍼뜩 자라라!!! 빤니!!!!!!!!!",ぱちぱち、ぱちぱち成長しろ！！！早く!!!!!!!!!,"Quickly, grow quickly!!! Please!!!!!!!!!"
s9.1,평화로운 나날 어느덧 날짜는 7월 18일을 가리키고 있다.,平和な日々が続く中、いつの間にか日付は7月18日を指している。,In the peaceful days the date has already reached July 18st.
s9.2,"들판 너머, 니콜라스가 정성을 다해 가꾼 제라늄도 어느덧 꽃 몽우리가 피어날 준비를 하고 있다.",畑の向こうでは、ニコラスが丹精込めて育てたゼラニウムも、いつの間にか花房を咲かせる準備をしている。,"Beyond the fields, the geraniums that Nicholas carefully tended are also ready to bloom."
s9.3,"제라늄이 활짝 피는 날을 기준으로, 스탬피드에게 고백하는 상상을 괜스레 해보는 니콜라스다.",ゼラニウムが満開の日を基準にして、スタンピードに告白する妄想をするニコラスだ。,Nicholas imagines confessing to Stampede on the day when the geraniums bloom fully.
s9.4,꽃이 만개한 제라늄 들판에 바람이 휘날린다.,満開のゼラニウム畑に風が吹く。,Wind swirls through the geranium field in full bloom.
